08:53:33.904 -> Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:06:01.817 -> 20.50, 44.19, 19.81, 47.69, 
10:06:03.904 -> 21.00, 44.19, 19.81, 47.75, 
10:06:05.942 -> 21.00, 44.19, 19.81, 47.75, 
10:06:08.027 -> 21.00, 44.19, 19.87, 47.75, 
10:06:10.118 -> 21.00, 44.19, 19.87, 47.69, 
10:06:12.213 -> 21.00, 44.19, 19.87, 47.63, 
10:06:14.293 -> 21.00, 44.19, 19.87, 47.63, 
10:06:16.383 -> 21.00, 44.19, 19.94, 47.69, 
10:06:18.425 -> 21.00, 44.19, 19.94, 47.63, 
10:06:20.504 -> 21.00, 44.19, 19.94, 47.63, 
10:06:22.595 -> 21.00, 44.19, 19.94, 47.63, 
10:06:24.686 -> 21.00, 44.19, 20.00, 47.56, 
10:06:26.769 -> 21.00, 44.19, 20.00, 47.56, 
10:06:28.845 -> 21.00, 44.19, 20.06, 47.56, 
10:06:30.930 -> 21.00, 44.13, 20.06, 47.56, 
10:06:33.018 -> 21.00, 44.13, 20.06, 47.56, 
10:06:35.101 -> 21.00, 44.13, 20.06, 47.50, 
10:06:37.182 -> 21.00, 44.13, 20.12, 47.50, 
10:06:39.268 -> 21.00, 44.13, 20.12, 47.50, 
10:06:41.347 -> 21.00, 44.13, 20.12, 47.50, 
10:06:43.426 -> 21.00, 44.06, 20.12, 47.44, 
10:06:45.503 -> 21.00, 44.06, 20.19, 47.44, 
10:06:47.584 -> 21.00, 44.06, 20.19, 47.44, 
10:06:49.664 -> 21.00, 44.06, 20.19, 47.44, 
10:06:51.747 -> 21.00, 44.06, 20.25, 47.38, 
10:06:53.833 -> 21.00, 44.06, 20.25, 47.38, 
10:06:55.914 -> 21.00, 44.06, 20.25, 47.38, 
10:06:57.991 -> 21.00, 44.06, 20.25, 47.38, 
10:07:00.075 -> 21.00, 44.06, 20.25, 47.38, 
10:07:02.115 -> 21.00, 44.06, 20.31, 47.38, 
10:07:04.205 -> 21.00, 44.00, 20.31, 47.38, 
10:07:06.294 -> 21.00, 44.06, 20.31, 47.31, 
10:07:08.377 -> 21.00, 44.00, 20.31, 47.38, 
10:07:10.464 -> 21.00, 44.00, 20.37, 47.31, 
10:07:12.556 -> 21.00, 44.00, 20.37, 47.31, 
10:07:14.638 -> 21.50, 44.00, 20.37, 47.31, 
10:07:16.719 -> 21.50, 44.00, 20.37, 47.31, 
10:07:18.806 -> 21.50, 44.00, 20.44, 47.31, 
10:07:20.844 -> 21.50, 43.94, 20.44, 47.31, 
10:07:22.925 -> 21.50, 44.00, 20.44, 47.25, 
10:07:25.006 -> 21.50, 43.94, 20.44, 47.31, 
10:07:27.091 -> 21.50, 43.94, 20.50, 47.25, 
10:07:29.175 -> 21.50, 43.94, 20.50, 47.31, 
10:07:31.254 -> 21.50, 43.94, 20.50, 47.31, 
10:07:33.328 -> 21.50, 43.94, 20.56, 47.25, 
10:07:35.421 -> 21.50, 43.94, 20.56, 47.31, 
10:07:37.498 -> 21.50, 43.94, 20.56, 47.31, 
10:07:39.577 -> 21.50, 43.94, 20.56, 47.25, 
10:07:41.662 -> 21.50, 43.94, 20.56, 47.31, 
10:07:43.744 -> 21.50, 43.94, 20.62, 47.25, 
10:07:45.830 -> 21.50, 43.94, 20.62, 47.31, 
10:07:47.907 -> 21.50, 44.00, 20.62, 47.31, 
10:07:49.983 -> 21.50, 44.00, 20.62, 47.31, 
10:07:52.069 -> 21.50, 44.00, 20.62, 47.31, 
10:07:54.149 -> 21.50, 44.00, 20.69, 47.31, 
10:07:56.235 -> 21.50, 44.00, 20.69, 47.31, 
10:07:58.307 -> 21.50, 44.00, 20.69, 47.31, 
10:08:00.381 -> 21.50, 44.00, 20.69, 47.31, 
10:08:02.462 -> 21.50, 44.06, 20.75, 47.31, 
10:08:04.544 -> 21.50, 44.00, 20.75, 47.31, 
10:08:06.625 -> 21.50, 44.06, 20.75, 47.31, 
10:08:08.706 -> 21.50, 44.00, 20.75, 47.31, 
10:08:10.787 -> 21.50, 44.00, 20.75, 47.31, 
10:08:12.873 -> 21.50, 44.00, 20.81, 47.31, 
10:08:14.962 -> 21.50, 44.00, 20.81, 47.31, 
10:08:17.048 -> 21.50, 44.00, 20.81, 47.31, 
10:08:19.137 -> 21.50, 44.00, 20.81, 47.31, 
10:08:21.183 -> 21.50, 44.00, 20.87, 47.31, 
10:08:23.270 -> 21.50, 44.00, 20.87, 47.31, 
10:08:25.354 -> 22.00, 44.00, 20.87, 47.31, 
10:08:27.434 -> 22.00, 44.00, 20.94, 47.31, 
10:08:29.522 -> 22.00, 44.06, 20.94, 47.31, 
10:08:31.614 -> 22.00, 44.06, 20.94, 47.38, 
10:08:33.698 -> 22.00, 44.06, 20.94, 47.44, 
10:08:35.774 -> 22.00, 44.06, 20.94, 47.44, 
10:08:37.858 -> 22.00, 44.13, 21.00, 47.50, 
10:08:39.939 -> 22.00, 44.13, 21.00, 47.56, 
10:08:42.018 -> 22.00, 44.19, 21.00, 47.56, 
10:08:44.099 -> 22.00, 44.19, 21.00, 47.56, 
10:08:46.143 -> 22.00, 44.19, 21.00, 47.56, 
10:08:48.237 -> 22.00, 44.25, 21.06, 47.56, 
10:08:50.321 -> 22.00, 44.19, 21.06, 47.56, 
10:08:52.406 -> 22.00, 44.25, 21.06, 47.63, 
10:08:54.497 -> 22.00, 44.25, 21.06, 47.63, 
10:08:56.584 -> 22.00, 44.25, 21.12, 47.63, 
10:08:58.625 -> 22.00, 44.25, 21.12, 47.63, 
10:09:00.715 -> 22.00, 44.25, 21.12, 47.69, 
10:09:02.797 -> 22.00, 44.19, 21.12, 47.69, 
10:09:04.881 -> 22.00, 44.25, 21.12, 47.69, 
10:09:06.947 -> 22.00, 44.19, 21.19, 47.75, 
10:09:09.039 -> 22.00, 44.25, 21.19, 47.75, 
10:09:11.115 -> 22.00, 44.25, 21.19, 47.75, 
10:09:13.200 -> 22.00, 44.25, 21.19, 47.75, 
10:09:15.281 -> 22.00, 44.31, 21.19, 47.75, 
10:09:17.371 -> 22.00, 44.31, 21.19, 47.81, 
10:09:19.462 -> 22.00, 44.31, 21.19, 47.81, 
10:09:21.545 -> 22.00, 44.31, 21.25, 47.81, 
10:09:23.585 -> 22.00, 44.38, 21.25, 47.88, 
10:09:25.669 -> 22.00, 44.38, 21.25, 47.88, 
10:09:27.749 -> 22.00, 44.44, 21.25, 47.88, 
10:09:29.837 -> 22.00, 44.44, 21.25, 47.88, 
10:09:31.919 -> 22.00, 44.50, 21.25, 47.88, 
10:09:34.006 -> 22.00, 44.44, 21.25, 47.88, 
10:09:36.095 -> 22.00, 44.50, 21.31, 47.81, 
10:09:38.178 -> 22.00, 44.50, 21.31, 47.81, 
10:09:40.260 -> 22.50, 44.50, 21.31, 47.88, 
10:09:42.342 -> 22.50, 44.50, 21.31, 47.88, 
10:09:44.424 -> 22.50, 44.50, 21.37, 47.88, 
10:09:46.513 -> 22.50, 44.50, 21.37, 47.88, 
10:09:48.550 -> 22.50, 44.50, 21.37, 47.81, 
10:09:50.636 -> 22.50, 44.50, 21.44, 47.88, 
10:09:52.722 -> 22.50, 44.50, 21.44, 47.88, 
10:09:54.800 -> 22.50, 44.50, 21.44, 47.88, 
10:09:56.883 -> 22.50, 44.50, 21.44, 47.81, 
10:09:58.962 -> 22.50, 44.50, 21.44, 47.81, 
10:10:01.046 -> 22.50, 44.44, 21.50, 47.81, 
10:10:03.129 -> 22.50, 44.44, 21.50, 47.81, 
10:10:05.214 -> 22.50, 44.44, 21.50, 47.81, 
