07:22:54.298 -> Time[s],T_wall[degC], RH_wall[%], T_A[degC], T_B[degC], T_C[degC], T_D[degC] 
07:37:57.820 -> 67.51, 25.12, 25.00, 24.69, 24.87, 24.87, 
07:38:00.670 -> 67.53, 25.12, 25.00, 24.69, 24.87, 24.87, 
07:38:03.477 -> 67.53, 25.14, 25.00, 24.69, 24.87, 24.87, 
07:38:06.342 -> 67.53, 25.14, 25.00, 24.69, 24.94, 24.87, 
07:38:09.204 -> 67.53, 25.12, 25.00, 24.69, 24.87, 24.87, 
07:38:12.033 -> 67.51, 25.12, 25.00, 24.69, 24.87, 24.81, 
07:38:14.896 -> 67.51, 25.12, 25.00, 24.69, 24.87, 24.87, 
07:38:17.730 -> 67.53, 25.12, 25.00, 24.69, 24.87, 24.87, 
07:38:20.587 -> 67.51, 25.12, 25.00, 24.69, 24.87, 24.87, 
07:38:23.439 -> 67.51, 25.12, 25.00, 24.69, 24.87, 24.87, 
