10:15:37.380 ->  Time[s], T_A[degC], T_B[degC], T_C[degC], T_D[degC]
10:27:19.934 -> 1.50, 36.94, 0.88, 37.56, 
10:27:22.053 -> 1.50, 36.88, 0.88, 37.56, 
10:27:24.123 -> 1.50, 36.88, 0.94, 37.63, 
10:27:26.213 -> 1.50, 36.88, 0.94, 37.63, 
10:27:28.283 -> 1.50, 36.88, 0.94, 37.63, 
10:27:30.389 -> 1.50, 36.88, 0.88, 37.63, 
10:27:32.450 -> 1.50, 36.88, 0.88, 37.56, 
10:27:34.548 -> 1.50, 36.88, 0.94, 37.56, 
10:27:36.636 -> 1.50, 36.88, 0.94, 37.50, 
10:27:38.733 -> 1.50, 36.88, 0.94, 37.50, 
10:27:40.802 -> 1.50, 36.88, 0.88, 37.56, 
10:27:42.871 -> 1.50, 36.88, 0.88, 37.56, 
10:27:44.986 -> 1.50, 36.88, 0.94, 37.63, 
10:27:47.037 -> 1.50, 36.88, 0.94, 37.63, 
10:27:49.121 -> 1.50, 36.88, 1.00, 37.63, 
10:27:51.206 -> 1.50, 36.88, 1.06, 37.63, 
10:27:53.299 -> 1.50, 36.88, 1.00, 37.63, 
10:27:55.414 -> 1.50, 36.88, 1.00, 37.56, 
10:27:57.488 -> 1.50, 36.88, 1.00, 37.63, 
