Time1_[s]	Voltage_10_A_[V]	Shunt_10_A_[V]	Voltage_8.2_B_[V]	Shunt_8.2_B_[V]	Voltage_9.09_C_[V]	Shunt_9.09_C_[V]	Voltage_4.1_D_[V]	Shunt_4.1_D_[V]	Voltage_4.1_E_[V]	Shunt_4.1_E_[V]	Voltage_VarR_[V]	Shunt_VarR_[V]	Time2_[s]	T5_cold_surf_B_[degC]	T8_cold_surf_C_[degC]	T2_hot_surf_C_[degC]	T4_hot_surf_A_[degC]	T3_hot_in_TEGs_[degC]	T6_hot_surf_B_[degC]	T7_cold_surf_A_[degC]	T1_cold_in_TEGs_[degC]	Current_A_[A]	Power_A_[W]	Current_B_[A]	Power_B_[W]	Current_C_[]	Power_C_[]	Current_D_[]	Power_D_[]	Current_E_[]	Power_E_[]	Current_VarR_[]	Power_VarR_[]	DT_surf_A_K]	DT_surf_B_[]	DT_surf_C_[]
4.500	0.000026	0.00040	-0.00032	-0.00018	-0.00041	-0.00027	-0.00071	0.00016	-0.00059	0.00059	0.00164	-0.00029	4.500	4.830	5.272	45.44	49.23	51.31	47.62	3.770	2.237	0.00040	1.03e-8	0.00018	5.72e-8	0.00027	1.11e-7	0.00016	1.13e-7	0.00059	3.50e-7	0.00029	4.78e-7	45.46	42.79	40.17	
4.600	0.000020	0.00039	-0.00032	-0.00017	-0.00040	-0.00026	-0.00072	0.00016	-0.00061	0.00060	0.00164	-0.00028	4.600	4.830	5.272	45.44	49.23	51.31	47.62	3.770	2.237	0.00039	7.97e-9	0.00017	5.46e-8	0.00026	1.03e-7	0.00016	1.14e-7	0.00060	3.65e-7	0.00028	4.52e-7	45.46	42.79	40.17	
4.700	0.000016	0.00039	-0.00030	-0.00017	-0.00040	-0.00025	-0.00072	0.00017	-0.00061	0.00059	0.00164	-0.00028	4.700	4.829	5.272	45.44	49.23	51.31	47.62	3.770	2.238	0.00039	6.24e-9	0.00017	4.99e-8	0.00025	1.01e-7	0.00017	1.25e-7	0.00059	3.58e-7	0.00028	4.53e-7	45.46	42.79	40.17	
4.800	0.000016	0.00040	-0.00031	-0.00016	-0.00042	-0.00025	-0.00073	0.00017	-0.00060	0.00058	0.00165	-0.00027	4.800	4.830	5.272	45.44	49.23	51.31	47.62	3.771	2.238	0.00040	6.42e-9	0.00016	5.09e-8	0.00025	1.05e-7	0.00017	1.22e-7	0.00058	3.46e-7	0.00027	4.46e-7	45.46	42.79	40.17	
4.900	0.000026	0.00039	-0.00032	-0.00016	-0.00041	-0.00025	-0.00071	0.00016	-0.00059	0.00059	0.00165	-0.00026	4.900	4.829	5.272	45.44	49.23	51.31	47.62	3.771	2.238	0.00039	1.02e-8	0.00016	5.19e-8	0.00025	1.02e-7	0.00016	1.12e-7	0.00059	3.48e-7	0.00026	4.36e-7	45.46	42.79	40.17	
5.000	0.000027	0.00041	-0.00032	-0.00016	-0.00040	-0.00025	-0.00071	0.00016	-0.00060	0.00059	0.00167	-0.00025	5.000	4.830	5.272	45.44	49.23	51.31	47.62	3.771	2.238	0.00041	1.11e-8	0.00016	5.05e-8	0.00025	1.02e-7	0.00016	1.12e-7	0.00059	3.54e-7	0.00025	4.23e-7	45.46	42.79	40.17	
5.100	0.000014	0.00041	-0.00032	-0.00015	-0.00041	-0.00026	-0.00071	0.00017	-0.00060	0.00059	0.00166	-0.00027	5.100	4.830	5.273	45.44	49.23	51.31	47.62	3.770	2.238	0.00041	5.90e-9	0.00015	4.84e-8	0.00026	1.04e-7	0.00017	1.21e-7	0.00059	3.48e-7	0.00027	4.41e-7	45.46	42.79	40.17	
5.200	0.000024	0.00041	-0.00032	-0.00015	-0.00042	-0.00026	-0.00072	0.00015	-0.00060	0.00059	0.00164	-0.00029	5.200	4.830	5.272	45.45	49.23	51.31	47.62	3.771	2.238	0.00041	9.96e-9	0.00015	4.68e-8	0.00026	1.09e-7	0.00015	1.09e-7	0.00059	3.48e-7	0.00029	4.81e-7	45.46	42.79	40.17	
5.300	0.000024	0.00040	-0.00033	-0.00014	-0.00041	-0.00027	-0.00072	0.00016	-0.00060	0.00059	0.00165	-0.00028	5.300	4.829	5.272	45.45	49.23	51.31	47.62	3.772	2.237	0.00040	9.74e-9	0.00014	4.71e-8	0.00027	1.10e-7	0.00016	1.18e-7	0.00059	3.55e-7	0.00028	4.63e-7	45.46	42.79	40.17	
5.400	0.000030	0.00039	-0.00031	-0.00016	-0.00042	-0.00027	-0.00072	0.00016	-0.00060	0.00058	0.00165	-0.00027	5.400	4.830	5.272	45.45	49.23	51.31	47.62	3.771	2.236	0.00039	1.19e-8	0.00016	4.89e-8	0.00027	1.14e-7	0.00016	1.16e-7	0.00058	3.52e-7	0.00027	4.51e-7	45.46	42.79	40.17	
