Time_1HZ, T_A[degC], T_B[degC], T_C[degC], T_D[degC]
2023-11-07 12:55:32,2.0,53.69,-0.56,57.285
2023-11-07 12:55:33,2.0,53.75,-0.56,57.38
2023-11-07 12:55:34,2.0,53.875,-0.56,57.47
2023-11-07 12:55:35,2.0,54.0,-0.56,57.56
2023-11-07 12:55:36,2.0,54.065,-0.53,57.655
2023-11-07 12:55:37,2.0,54.13,-0.5,57.75
2023-11-07 12:55:38,2.0,54.22,-0.5,57.845
2023-11-07 12:55:39,2.0,54.31,-0.5,57.94
2023-11-07 12:55:40,2.0,54.375,-0.5,58.035
2023-11-07 12:55:41,2.0,54.44,-0.5,58.13
2023-11-07 12:55:42,2.0,54.535,-0.5,58.19
2023-11-07 12:55:43,2.0,54.63,-0.5,58.25
2023-11-07 12:55:44,2.0,54.72,-0.5,58.345
2023-11-07 12:55:45,2.0,54.81,-0.5,58.44
2023-11-07 12:55:46,2.0,54.905,-0.47,58.535
2023-11-07 12:55:47,2.0,55.0,-0.44,58.63
2023-11-07 12:55:48,2.0,55.06333333333333,-0.44,58.67
2023-11-07 12:55:49,2.0,55.126666666666665,-0.44,58.71
2023-11-07 12:55:50,2.0,55.19,-0.44,58.75
2023-11-07 12:55:51,2.0,55.25,-0.44,58.845
2023-11-07 12:55:52,2.0,55.31,-0.44,58.94
2023-11-07 12:55:53,2.0,55.405,-0.44,59.035
2023-11-07 12:55:54,2.0,55.5,-0.44,59.13
2023-11-07 12:55:55,2.0,55.595,-0.44,59.22
2023-11-07 12:55:56,2.0,55.69,-0.44,59.31
2023-11-07 12:55:57,2.0,55.785,-0.44,59.375
2023-11-07 12:55:58,2.0,55.88,-0.44,59.44
2023-11-07 12:55:59,2.0,55.97,-0.405,59.535
2023-11-07 12:56:00,2.0,56.06,-0.37,59.63
2023-11-07 12:56:01,2.0,56.125,-0.37,59.72
2023-11-07 12:56:02,2.0,56.19,-0.37,59.81
2023-11-07 12:56:03,2.0,56.285,-0.37,59.905
2023-11-07 12:56:04,2.0,56.38,-0.37,60.0
2023-11-07 12:56:05,2.0,56.44,-0.37,60.065
2023-11-07 12:56:06,2.0,56.5,-0.37,60.13
2023-11-07 12:56:07,2.0,56.595,-0.37,60.19
2023-11-07 12:56:08,2.0,56.69,-0.37,60.25
2023-11-07 12:56:09,2.0,56.785,-0.37,60.345
2023-11-07 12:56:10,2.0,56.88,-0.37,60.44
2023-11-07 12:56:11,2.0,56.97,-0.33999999999999997,60.5
2023-11-07 12:56:12,2.0,57.06,-0.31,60.56
2023-11-07 12:56:13,2.0,57.10333333333333,-0.31,60.64333333333334
2023-11-07 12:56:14,2.0,57.14666666666667,-0.31,60.72666666666667
2023-11-07 12:56:15,2.0,57.19,-0.31,60.81
2023-11-07 12:56:16,2.0,57.285,-0.31,60.905
2023-11-07 12:56:17,2.0,57.38,-0.31,61.0
2023-11-07 12:56:18,2.0,57.44,-0.31,61.095
2023-11-07 12:56:19,2.0,57.5,-0.31,61.19
2023-11-07 12:56:20,2.25,57.595,-0.31,61.285
2023-11-07 12:56:21,2.5,57.69,-0.31,61.38
2023-11-07 12:56:22,2.5,57.75,-0.31,61.47
2023-11-07 12:56:23,2.5,57.81,-0.31,61.56
2023-11-07 12:56:24,2.5,57.905,-0.31,61.655
2023-11-07 12:56:25,2.5,58.0,-0.31,61.75
2023-11-07 12:56:26,2.5,58.095,-0.28,61.845
2023-11-07 12:56:27,2.5,58.19,-0.25,61.94
2023-11-07 12:56:28,2.5,58.25,-0.28,62.035
2023-11-07 12:56:29,2.5,58.31,-0.31,62.13
2023-11-07 12:56:30,2.5,58.405,-0.28,62.22
2023-11-07 12:56:31,2.5,58.5,-0.25,62.31
2023-11-07 12:56:32,2.5,58.565,-0.25,62.405
2023-11-07 12:56:33,2.5,58.63,-0.25,62.5
2023-11-07 12:56:34,2.5,58.72,-0.25,62.595
2023-11-07 12:56:35,2.5,58.81,-0.25,62.69
2023-11-07 12:56:36,2.5,58.905,-0.25,62.815
2023-11-07 12:56:37,2.5,59.0,-0.25,62.94
2023-11-07 12:56:38,2.5,59.065,-0.22,63.0
