Time,Voltage_8.2_B_[V],Shunt_8.2_B_[V],Voltage_9.09_C_[V],Shunt_9.09_C_[V],Voltage_4.1_D_[V],Shunt_4.1_D_[V],Voltage_4.1_E_[V],Shunt_4.1_E[V],Voltage_VarR[V],Shunt_VarR[V],Current_B[A],Power_B[W],Current_C[],Power_C[],Current_D[],Power_D_[],Current_E[],Power_E[],Current_VarR[],Power_VarR[],Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_9,Sensor_10
43.0,0.0016046,-0.0005139,-0.0023391,-8.386e-05,-0.0146057999999999,-0.0025981,0.0066213999999999,0.0018813,0.0056432999999999,-0.001352,0.0005139,8.256599999999999e-07,8.386e-05,1.9606e-07,0.0025981,3.8e-05,0.0018813,1.219e-05,0.001352,7.632200000000001e-06,27.8641951585,27.878325083,25.6214799845,25.9703282335,26.46133442,26.3349231705
44.0,0.0016136,-0.0005157,-0.002336,-8.671e-05,-0.0145978,-0.0025872,0.0066133,0.0018816,0.0056373,-0.0013504,0.0005157,8.3214e-07,8.671e-05,2.0225e-07,0.0025872,3.8e-05,0.0018816,1.2e-05,0.0013504,7.611e-06,27.863651469,27.875778582,25.618707653,25.966240499,26.45613556,26.333224867
45.0,0.0016123,-0.0005111,-0.0023456,-8.985e-05,-0.0146089,-0.0025959,0.0066097,0.0018807,0.0056272,-0.0013507,0.0005111,8.252200000000001e-07,8.985e-05,2.1018e-07,0.0025959,3.8e-05,0.0018807,1.2e-05,0.0013507,7.606e-06,27.8631077795,27.873232081,25.6159353215,25.9621527645,26.4509367,26.3315265635
46.0,0.0016003,-0.0005246,-0.0023523,-8.648e-05,-0.014622,-0.002598,0.0066101,0.0018754,0.005623,-0.0012935,0.0005246,8.3817e-07,8.648e-05,2.0395000000000002e-07,0.002598,3.8e-05,0.0018754,1.2e-05,0.0012935,7.2755e-06,27.86256409,27.87068558,25.61316299,25.95806503,26.44573784,26.32982826
47.0,0.0015921,-0.0005268,-0.0023498,-9.571e-05,-0.0146372,-0.0025938,0.0065899,0.0018727999999999,0.0056175,-0.0012701,0.0005268,8.3819e-07,9.571e-05,2.2554e-07,0.0025938,3.8e-05,0.0018727999999999,1.2e-05,0.0012701,7.1374e-06,27.859134391,27.8685033825,25.6116360625,25.9579280825,26.443480493,26.3265533425
48.0,0.0015865,-0.000526,-0.002348,-0.00010308,-0.0146315,-0.0025852,0.006588,0.0018716,0.0056146,-0.0012753,0.000526,8.359199999999999e-07,0.00010308,2.4160000000000005e-07,0.0025852,3.795e-05,0.0018716,1.2e-05,0.0012753,7.1571e-06,27.855704692,27.866321185,25.610109135,25.957791135,26.441223146,26.323278425
49.0,0.001589,-0.0005288999999999,-0.0023387,-0.00010546,-0.0146233,-0.002582,0.0065752,0.0018826,0.0056142,-0.0012897,0.0005288999999999,8.4011e-07,0.00010546,2.4654000000000004e-07,0.002582,3.795e-05,0.0018826,1.2e-05,0.0012897,7.2337e-06,27.852274993,27.8641389875,25.6085822075,25.9576541875,26.438965799,26.3200035075
50.0,0.0016044,-0.0005208,-0.0023195,-0.00010564,-0.0146239,-0.0025792,0.006561,0.0018862999999999,0.0056051999999999,-0.0013067,0.0005208,8.3516e-07,0.00010564,2.4357e-07,0.0025792,3.796e-05,0.0018862999999999,1.2e-05,0.0013067,7.320700000000001e-06,27.848845294,27.86195679,25.60705528,25.95751724,26.436708452,26.31672859
51.0,0.0016081,-0.0005174,-0.0023053,-0.00010511,-0.0146238,-0.0025724,0.0065491,0.0018887,0.0056033,-0.001268,0.0005174,8.3226e-07,0.00010511,2.4059e-07,0.0025724,3.794e-05,0.0018887,1.2e-05,0.001268,7.0979e-06,27.845415595,27.8597745925,25.6055283525,25.9573802925,26.434451105,26.3134536725
52.0,0.0016240999999999,-0.0005287,-0.0022921,-0.0001135,-0.0146154999999999,-0.0025783,0.0065483,0.0018981999999999,0.0055931,-0.0012841,0.0005287,8.590700000000001e-07,0.0001135,2.5739e-07,0.0025783,3.793e-05,0.0018981999999999,1.215e-05,0.0012841,7.1757e-06,27.841985896,27.857592395,25.604001425,25.957243345,26.432193758,26.310178755
